username,user_id,city,country,gender,year_of_birth,CSP,goals,level_of_education
antoine19250,13263976,,,,,,,
ANTOINE2009,,,,,,,,
Antoine2R,,,,,,,,
Antoine30,,,,,,,,
antoine31,,None,,m,1981,,"je souhaiterais découvrir tout d'abord cette nouvelle méthode d'apprentissage, et ainsi voir si elle est adaptée à mes besoins.",m
Antoine38,575832,,,,,,,
Antoine7507,,,,,,,,
Antoine86,,,,,,,,
Antoine914,2978549,,,m,,"Cadre, sup",,
antoinearce,,paris,FR,m,1972,,veux tout savoir,m
antoineb83,5116945,,,,,,,
antoinebalourdet,,,,,,,,
antoinebarillec,,,,,,,,
AntoineBIET,,,,,,,,
antoinebrun,,,,,,,,
antoinebruneau,,,,,,,,
AntoineBur,2618580,,,,,,,
AntoineC69,,,,,,,,
antoinecanton,,,,,,,,
AntoineCharly,,,,,,,,
antoinecomp,4164951,,,,,,,
AntoineCOOL,1892891,Paris,FR,m,2003,,Je vais essayer de m'inscrire sur FUN car j'aime bien m'amuser avec des téléphones donc sa m'intéresserai d'essayer ces Mook.,none
AntoineCostes,,Rennes,FR,,None,,,
AntoineCroguennec,,None,,m,1967,,,jhs
antoinedormieu,,,,,,,,
AntoineDrugeot,,,,,,,,
AntoineDucret,588165,,,,,,,
AntoineDuj,,,,,,,,
Antoineduss,,,,,,,,
antoineetude,,,,,,,,
AntoineFNG,,,,,,,,
antoineforestier,13971772,,,,,,,
antoinefrappe,,,,,,,,
AntoineG88,6053236,,,,,,,
AntoineGauquier,16483339,,,,,,,
antoinegautier,2585292,,,,,,,
antoinegerard,4404405,,,,,,,
AntoineGibour,,,,,,,,
AntoineGirot-UBx,5326975,,,,,,,
antoinegr49,,,,,,,,
AntoineGrimaldi,,Nîmes,FR,m,1992,,,m
Antoineguerin,,,,,,,,
AntoineIII,,Chatillon sur seine,FR,m,1992,,"C'etait in de mes cour préféré, et de revoir les base ne fait jamais de mal! ",m
AntoineImmarigeon,,None,FR,m,1990,,"Avant toute chose, il s'agit pour moi d'une forme de soutien envers cette belle initiative du ministère; les Moocs peuvent révolutionner les méthodes d'apprentissage des Français et enfin leur permettre d'enter dans une dynamique d'apprentissage actif tout au long de la vie et non jusqu'à un arrêt ponctuel marqué par la fin des études.

D'un point de vue personnel, je suis désireux:
1- d'apprendre de nouveaux savoirs
2- de voir le fonctionnement de ces cours, je n'ai pas encore suivi du Mooc du fait de mes études, mais travaille aujourd'hui à l'autre bout du monde et c'est le moyen le plus flexible de suivre un cours.
",m
antoineinparis,,,,,,,,
AntoineJo92,6265564,,,,,,,
AntoineL44,,NANTEs,FR,m,1984,,,hs
AntoineLasnier,,Paris,FR,m,1986,,,m
AntoineLegeay,,,,,,,,
AntoineLQ,,None,,m,1975,,J'aime apprendre. Les cours semblent bien faits.,p
AntoineMartinon,,,,m,,"Cadre, sup",,
AntoineMazin,5581556,,,,,,,
AntoineMessager,,,,,,,,
antoinemetifeu,,Caen,FR,m,1992,,"Je commence à m'intéresser de plus en plus en MOOC (découvert grâce à OpenClassRooms), et depuis, j'ai toujours envie d'apprendre de nouvelles choses. Et certains cours proposés sur FUN peuvent m'intéresser ! ",jhs
AntoineMilhau,,Angoulême,FR,m,1984,,Suivre des cours pour compléter ma formation. Découvrir de nouvelles choses sans se lancer dans de grandes études,m
AntoineMorvillez,,,,,,,,
AntoineNael,,,,,,,,
antoinepatrick,,,,,,,,
antoinepecora,,Sion,CH,m,1996,,J'adore le concept,other
antoinepeltier,,,,,,,,
AntoinePeytavy,481290,,,,,,,
antoinepicot31,,,,,,,,
AntoinePolatouche,252603,,,,,,,
AntoinePP,,PHNOM PENH,KH,m,1989,,The topic is relevant for me!,m
Antoinequidu,,,,,,,,
AntoineRa,,,,,,,,
Antoinerev,,,,,,,,
AntoineSas,,Bordeaux,FR,m,1986,,Envie et besoin d'apprendre.,hs
AntoineSelosse,286497,,,,,,,
antoineSIG,16827046,,,,,,,
antoinesyma,,,,,,,,
AntoineTabet,,None,FR,m,1993,Employé,"Observer l'organisation de ce MOOC
Acquérir des compétences supplémentaires en fabrication numérique",a
AntoineTARDY,,,,,,,,
Antoinetav,,None,,m,1985,,Apprendre de nouvelles choses ,p
ANTOINETTE2016,,,,,,,,
AntoinetteBurger,6152005,,,,,,,
AntoinetteH,,,,,,,,
Antoinettep,,,,,,,,
AntoineUrrutiaguer,,,,,,,,
Antoinev33,19919881,,,,,,,
antoinez,,paris,FR,m,1977,,,m
Antoinzer,,,,,,,,
Antoko,,,,,,,,
AntoLamb,,,,,,,,
anton_naymov,16044621,,,,,,,
anton02,431685,,,,,,,
Anton1,2482756,,,,,,,
Antonberndt,10900046,,,,,,,
AntonD,,Le Grand-Bornand,FR,,None,,,
AntonDegtev,2597565,,,,,,,
antondji,,None,FR,m,1975,,,hs
AntonellaP,,,,,,,,
AntonellaScilef,5391907,,,,,,,
AntonellaZarri,,,,,,,,
antonia1980,,,,,,,,
Antonia71,12111659,,,,,,,
AntoniaC,2073628,,,,,,,
antoniasaunders,18607182,,,,,,,
Antonin_Bernard,20588800,,,,,,,
Antonin-ACS,,,,,,,,
Antonin-Low-Tech,16884704,,,,,,,
Antonin2,,Lyon,FR,m,1946,Retraité,Savoir réaliser et programmer des automates,m
Antonin30,,Lyon,FR,m,1946,,"Ancien Responsable du Développement Produit chez Renault Véhicules Industriels, Mack Trucks au US, puis chez Volvo Powertrain en Suède, l'innovation aux service du client et de la société a été mon métier.
Retraité, je me suis impliqué dans la dynamisation de l'innovation en France au sein du Think Tank centralien crée sur ce thème. Ai été co-auteur du livre """" 8 priorités pour dynamiser l'innovation en France"".",m
Antoninamour,,Paris,FR,m,1982,,Learn lover,m
Antoninchlt,,,,,,,,
AntoninDD,16306638,,,,,,,
antoninfournier,1351406,,,,,,,
AntoninP,,None,,m,1983,,Approfondir des questions d'actualité.,m
antoninroussel,2258493,,,,,,,
AntoninV,,Arreux,FR,m,1996,,,other
AntoninVerdier,5829518,,,,,,,
Antonio,,,,,,,,
antonio_caballer,10899825,,,,,,,
Antonio_LC,10441319,,,,,,,
antonio_rossi21,12532457,,,,,,,
Antonio_Valdez,5653223,,,,,,,
antonio23,,Bangui,CF,m,1991,,participation et apprentissage,hs
antonioAFP,2135714,,,,,,,
antonioc,,Sannois,GA,m,1960,,"Accroitre mes connaissances dans ce domaine en vue d'une utilisation pratique.
",m
AntoniodeLeonVega,10625529,,,,,,,
ANTONIODFT,9835170,,,,,,,
antonioe,1841197,,,,,,,
antoniojakic,,Gravelines,FR,m,None,,,
antoniojaviernietogarcia,9554771,,,,,,,
AntonioKamad,4338456,,,,,,,
AntonioLara2015,8582670,,,,,,,
AntonioMaddaloni,21545619,,,,,,,
antoniomadureira,,Recife,BR,m,1995,,Développer mes connaissances en différentes domaines.,m
AntonioMaia,3258255,,,,,,,
antoniominiello,,,,,,,,
Antonionetto,5869823,,,,,,,
antoniop,,,,,,,,
antonioperord,5465563,,,,,,,
AntonioPrado,2968688,,,,,,,
AntonioRabia762,,,,,,,,
antonioserpa486,,,,,,,,
AntonioShilon,7617986,,,,,,,
antoniotr1,10819156,,,,,,,
antoniov,,,,,,,,
antonioveloso,6075193,,,,,,,
AntonioVillarroel,3407533,,,,,,,
AntonioZ,,,,,,,,
antonmry,,None,ES,m,1980,,Apprendre!,m
antontaslim142,11358787,,,,,,,
AntonV,,Paris,FR,m,1986,,,m
antony_gerald748,19741517,,,,,,,
antony-taz,3527619,,,,,,,
Antony05,,,,,,,,
Antony76,,,,,,,,
Antony91700,,Sainte Geneviève des Bois,FR,m,1948,,,m
Antonybes,5499287,,,,,,,
ANTONYBUTON,,,,,,,,
antonydbzh,,None,,m,1971,Enseignant,apprendre !,m
AntonyFabrice,8365533,,,,,,,
antonymay,7729896,,,,,,,
AntonyNgure,7108787,,,,,,,
antooc,2804676,Toulouse,FR,m,1973,,,m
antopikmin,4904368,,,,,,,
AntoPinet,6672032,,,,,,,
Antoun14,122146,,,,,,,
AntouS,,,,,,,,
Antovick,,,,m,,Recherche emploi,,
AntoW,7002412,,,,,,,
antpavard,4400400,,,,,,,
antpols,4564119,,,,,,,
AntRa,,,,,,,,
antra14,,,,,,,,
Antrick,7545566,,,,,,,
antriD,,,,,,,,
antriksh_sharma_15,15518562,,,,,,,
AntsaTiana,,,,,,,,
Antsobog,,,,,,,,
Antsom,,None,,m,1989,,"Bonjour.
Ce qui me motive à m'inscrire à FUN est la qualité des cours que vous dispensez. Merci",b
Antton75,,,,,,,,
Anttonbr,,,,,,,,
AntWaret,,,,,,,,
antygone57,,,,,,,,
Anu1806,19381179,,,,,,,
Anubis2407,2962998,,,,,,,
anubvarghese,1756696,,,,,,,
Anuli,670874,,,,,,,
AnumB,4424304,,,,,,,
AnumKhan6667,10579388,,,,,,,
AnumulaMuralidhar,12988424,,,,,,,
anune013,12602078,,,,,,,
Anup,855,,,,,,,
anup02bista,14168182,,,,,,,
anupam_mitra,1141125,,,,,,,
AnupGrahan,452953,,,,,,,
anupkrdeka02,78607,,,,,,,
AnuragAg,7111774,,,,,,,
anuragpbhale,10573279,,,,,,,
anusca02,3216749,,,,,,,
anvalerie,,,,,,,,
ANVIETNAM,,,,,,,,
AnViMi,,,,,,,,
Anwar96,19706725,,,,,,,
anwaralph,,,,,,Etudiant,,
Anwareltayeb,8819323,,,,,,,
Anwarlebiologistedufutur,4818664,,,,,,,
anwarsrh,,paris,FR,m,1989,,,b
anwarsrh123,,PARIS,FR,m,1989,,"I'm a mechanical engineer, and a student a ENS cachan , I tried to build a 3d printer using Arduino micro controller. I would like to improve my ideas with you .",b
anwear,1323780,,,,,,,
anwer_anwer,,,,,,,,
Anwesha1991,5874551,,,,,,,
AnweshaSinha,11094447,,,,,,,
Anxels,6340564,,,,,,,
AnxhelaBega,10815807,,,,,,,
anya75,,Bruxelles,BE,f,1983,,grand motivation pour l'it ,m
AnyaJones,5009017,,,,,,,
AnyaZv,10713412,,,,,,,
Anyklod,2235937,,,,,,,
anyonteh,9129576,,,,,,,
Anypec,10298133,,,,,,,
anysteph,,,,,,,,
anytha135,,,,,,,,
anyy,5944915,,,,,,,
anyz,,,,,,,,
anzanberenger,,,,,,,,
anzanmichael,,,,,,,,
Anzoua,11875739,,,,,,,
Anzoumen,,,,,,,,
Anztyo81,,,,m,,Sans,,
ao_1,,,,,,,,
aoadiallo,3412951,,,,,,,
Aober,17386150,,,,,,,
Aobermeyer,4858516,,,,,,,
aodoval,5999940,,,,,,,
Aodrene,,Tremblay-En-France,FR,m,None,,Fun va me permettre de continuer à découvrir de nombreux domaines sans stopper ma vie professionnelle.,m
aoesd09,9772006,,,,,,,
Aoko_San,,,,,,,,
aoldubai,935250,,,,,,,
Aolek,,,,,,,,
AOLFA,,,,,,,,
aoliveira07,,,,f,,Etudiant,,
aolliet,7340486,,,,,,,
aoreve,2665076,,,,,,,
AOrrego,3130334,,,,,,,
aorzme,53809,,,,,,,
aosmani,,paris,FR,m,1971,,,p
AOsouleymane01,,arlit,NE,m,1983,,Renforcement  de connaissance ,b
Aotrou_Zavier,,,,,,,,
aOttola,8034541,,,,,,,
aou,,,,,,,,
AOUADJA,,,,,,,,
AouadM,,,,,,,,
AOUATA,,ORAN,DZ,f,1987,,,p
aoudeville,,,,,,,,
aoueslati,,Ariana,TN,m,1981,,Je travaille sur des projets IoT ,m
Aoufkir,,,,,,,,
aouicher,,Rueil-Malmaison,FR,m,1978,,"CTO digital (Conde Nast) et passionné de development digital et domorique, j'aimerai participer au mooc sur les objet connectés. ",jhs
AOUIMEN,,,,,,,,
aoukou,3734211,,,,,,,
Aoumar,,Marseille,FR,m,2000,Etudiant,,el
Aoumous2015,,rabat,MA,m,1981,,,b
Aoun,,,,,,,,
aour,,None,,m,1964,,Me former toujours et plus,b
AOURAGH,,,,,,,,
Aourirmeriem,,,,,,,,
aourrais,,,,,,,,
aousahla,6040498,,,,,,,
aoussid,,,,,,,,
Aoustaud,,,,,,,,
aouzala,,,,,,,,
aovalles,132484,,,,,,,
Aovhin,,,,,,,,
AoWang278,11140622,,,,,,,
Aoz,,,,,,,,
AoZhan,,Saint-flour,FR,m,1996,,Me former et apprendre de nouvelle choses,jhs
Aozora67,,,,,,,,
AP,133268,,,,,,,
ap_duboulet,2297217,,,,,,,
ap_gar,5717761,,,,,,,
AP_PB,,,,,,,,
AP1,,,,,,,,
ap33,,None,,m,1975,,"Compléter l'expérience professionnelle par des supports et des propos de sources externes, assimiler le vocabulaire technique des domaines informatique et multimédia, préparer des concours internes grâce à des contenus approprier, évoluer vers une autre expérience professionnelle.",m
ap54,2718078,,,,,,,
AP901560,17575055,,,,,,,
apace,,,,f,,Employé,,
apache971,462507,,,,,,,
Apacheco,1153950,,,,,,,
Apacifico,2179279,,,,,,,
apacketinthetubes,,montpellier,FR,,None,,,
apades,,,,,,,,
apaix77,1201599,,,,,,,
apala,2396421,,,,,,,
apallois,,,,,,,,
apalomino4847,5964640,,,,,,,
apandaya,8605623,,,,,,,
apandjou,,,,,,,,
apanvier,6065650,,,,,,,
APAPAPOSTOLOU,,CRACH,FR,m,1952,Retraité,APPRENDRE ET PARTAGER,
apapillon,,,,,,,,
apapot,,,,,,,,
APARADES,3528765,,,,,,,
Aparedes19,10945228,,,,,,,
AParin,,Pariq,FR,m,1992,,Diplômé d'une école d'ingénieur et travaillant en tant que consultant sur des sujets digitaux je souhaiterai approfondir mes connaissances sur les objets connectés voir me réorienter vers des métiers en lien avec ces technologies.,m
aparrot,,,,,,,,
APascale,717684,,,,,,,
apaschoud,2678276,,,,,,,
Apast,9301686,,,,,,,
apatrick5637,10884423,,,,,,,
apaularj,1876924,,,,,,,
APAULO,5337853,,,,,,,
apavard,,Tarbes,FR,m,1954,,apprendre à programmer  et monter des entrées sorties,p
APC69,,,,,,,,
APCLACLASSE,,,,,,,,
apec,3487186,,,,,,,
apedel,5700458,,,,,,,
Apedjinou_marc,9041148,,,,,,,
apedrazal,12403585,,,,,,,
Apeewe,1245600,,,,,,,
apej,8417878,,,,,,,
Apelite,2872287,,,,,,,
apelletierMZ,5306590,,,,,,,
Apelli,,,,,,,,
Apemat,40294,,,,,,,
apenhoat,6013465,,,,,,,
ApEnSam,,None,,m,1976,,"Art, recyclage, transmission.",b
aperez,,,,,,,,
Aperfettini,,Paris,FR,m,1982,,Envie d'évaluer et d'enrichir mes compétence ,b
apergeline,3503239,,,,,,,
apericube_27,5599916,,,,,,,
aperinetti,6522169,,,,,,,
aperlou,1809154,,,,,,,
Aperoblabla,4717938,,,,,,,
aperoplume,141611,,,,,,,
ApeRossa,4924091,Créteil,FR,m,1974,,Autodidacte dans le monde de l'informatique et aujourd'hui à la recherche d'un emploi je cherche à valoriser mes 20 ans d'expérience professionnel et occulter l'absence de formation initiale dans mon parcours.,jhs
Aperr0t,,,,m,,Employé,,
APERRAULT,,,,,,,,
apersonne,2829909,,,,,,,
apetillon,118813,,,,,,,
apetit52,8841503,,,,,,,
apeuaud,2333671,,,,,,,
apeugny,1043127,,,,,,,
apeurou,,BANALEC,FR,m,1971,,,m
Apexpack,,,,,,,,
apexrem4,6476256,,,,,,,
apeyrard,,Lille,FR,m,1993,,,b
APEZEU,18585596,,,,,,,
ApfelChen,13036944,,,,,,,
ApFr,6661037,,,,,,,
apfunmooc,10677417,,,,,,,
apguedes,1751584,,,,,,,
Aphix,,,,,,,,
Aphoe1,8394590,,,,,,,
Aphoneme,,,,,,,,
AphroditeKarageorgiou,3592323,,,,,,,
Api_D,13326574,,,,,,,
Api31,289635,,,,,,,
apian,,,,,,,,
Apibreizh,9121191,,,,,,,
apicpic,,,,,,,,
apicus,671250,None,,m,1949,,Profiter d'un accès délocalisé à des formations de qualité,m
APIERRED,11891962,,,,,,,
apiet,,,,,,,,
apiffault,,,,,,,,
apilette,2670551,,,,,,,
Apimeli,,FLORAC,FR,m,1978,Retraité,Automatiser la remise en route des dijoncteurs suite à une déconnection due à la foudre,hs
ApionHS,6442927,,,,,,,
Apios,,None,,m,1946,,Apprendre,m
apipard,8963983,,,,,,,
APITARD,4822312,,,,,,,
apitombeira,4607405,,,,,,,
apittavino,18200173,,,,,,,
apkendall,11711123,,,,,,,
Aplaplack,,,,,,,,
aplea,4605528,,,,,,,
aplessis,2210020,,,,,,,
Aplouffe,,,,,,,,
apnee92,,,,,,,,
apnkpp,3717700,,,,,,,
Apo,32419,,,,,,,
Apo64,5028256,,,,,,,
Apo89,1611651,,,,,,,
Apocryphe,,,,,,,,
Apoelaert,,,,,,,,
apofils,,,,,,,,
Apoiap,6627269,,,,,,,
apoiget,,,,,,,,
apoirotte,8492013,,,,,,,
apokalips,,,,,,,,
Apolline67,,,,,,,,
ApollineBambara,160889,,,,,,,
Apollins,4149669,,,,,,,
Apollo_81,9558620,,,,,,,
Apolonio,3598812,,,,,,,
apoluce,5501803,,,,,,,
Apolyonn,8065206,,,,,,,
apon,,,,,,,,
aponte,,,,,,,,
aponydoc,,,,,,,,
apooja_1868,10273790,,,,,,,
Apoorvajn28,11118810,,,,,,,
apopovics1991,11230740,,,,,,,
aporcheray,,,,,,,,
aporrove,486303,,,,,,,
aportelette,4756920,,,,,,,
Apoteose,,,,,,,,
Apothicaire,203415,,,,,,,
apothin,,,,,,,,
apoulain,,FRANCONVILLE,FR,m,1969,,,b
apourchet,,,,,,,,
APOUSSA,,,,,,,,
apousse,2623338,,,,,,,
APouz,,,,,,,,
apovand,,,,,,,,
apox,,france,FR,m,1997,Etudiant,,hs
apoyet,,Lyon,FR,m,1992,,Curiosité et acquisition de compétence,m
Appa,,blanc-mesnil,FR,m,1991,,je souhaite devenir develloppeur informatique pour tablette mobile,jhs
AppAmpus,,,,,,,,
Appanacca,,,,,,,,
appdesigner,,,,,,,,
appdesk,2770278,,,,,,,
Appgk,6117235,,,,,,,
APPHAN,10612848,,,,,,,
Appianin,10960752,,,,,,,
Appoleader,3538,,,,,,,
AppoloEclipse,,,,,,,,
appolonroobens2,6302017,,,,,,,
AppooXevwo,19081648,,,,,,,
Apport,8023366,,,,,,,
Appr,3826922,,,,,,,
apprenant57,,,,,,,,
apprenant81000,,,,,,,,
apprenantatfun,,,,,,,,
Apprenante,,,,,,,,
Apprendre16-05,,Athis Mons,FR,f,1978,,Découverte. Apprendre,m
apprendre18,,,,,,,,
Apprendretoujours,,,,,,,,
Apprenti973,,,,,,,,
apprentice,5563796,,,,,,,
APPRENTISOFI,,,,,,,,
Apprentissage,1142448,,,,,,,
APQCC,,,,,,,,
APRALON,,Nyon,CH,m,1988,,,b
apresset,,,,,,,,
APRI,4859641,,,,,,,
April_Prely,5691266,,,,,,,
aprilc7,11255868,,,,,,,
apriltrocho,10917134,,,,,,,
Aprin,6704069,,,,,,,
APriscilla,,,,,,,,
aprive2010,3775098,,,,,,,
Aprosper,,,,,,,,
AProy,,PARIS,FR,f,1981,,,m
aprudhomme,,,,,,,,
apruel,,,,,,,,
APSAP,9740573,,,,,,,
apsi,,,,,,,,
apsm-aferreira,5126659,,,,,,,
APSoft,543900,,,,,,,
apssap,5083931,,,,,,,
aptatio,,,,,,,,
Apu,,,,,,,,
apu02,4665320,,,,,,,
apu25,2586950,,,,,,,
apuaud,6596858,,,,,,,
Apucek,5668538,,,,,,,
Apuissegur,,,,,,,,
Apurv1,14977752,,,,,,,
Apurva_tr,9399625,,,,,,,
apusceddu,3760296,,,,,,,
apwinkler,,,,,,,,
APZN,,,,,,,,
apzt,,,,,,,,
APZT2,4943915,,,,,,,
Aqari,,Marrakech,MA,f,1996,,Je suis interesse par les cours en ligne ,m
AQARROUT,17583974,,,,,,,
aqeelch28,75315,,,,,,,
aqrami,,casablanca,MA,m,1996,,,hs
Aqu-hamza94,,,,,,,,
Aqua94,8492773,,,,,,,
aqualiolio,11475038,,,,,,,
AQUAMAN,1232331,,,,,,,
Aquarelle2014,,,,,,,,
aquassarim,4874797,,,,,,,
Aquasub,,SAINT-PAUL,RE,m,1979,,"Bonjour, 
Chef de projet en biologie marine et en plongée sous-marine, je suis toujours à la recherche de nouvelles formations pour élargir mes compétences et stimuler ma productivité. Rendre animé et connecté de simples objets m'intrigue et j'aimerais savoir le faire.  ",m
aquathi,,Douai,FR,m,1996,Etudiant,,
Aquatikelfik,,None,,m,1990,,,a
aquatrehomme,5470374,,,,,,,
aqueffel,,,,,,,,
aquen,,,,,,,,
aquilon,,None,,m,1965,,Premier MOC,hs
aquinart,,,,,,,,
Aquitaine,1355127,,,,,,,
aquosite,4935602,,,,,,,
aqwedc,,Paris,FR,m,1984,,,m
Ar_mand,,Lyon,FR,m,1977,,"Développeur Perl occasionnel dans un environnement réseau/télécom, je m'inscris pour suivre le MOOC Python (OpenStack)",m
ar0s3,,,,,,,,
AR2,,,,,,,,
AR44700,1760752,,,,,,,
Ara_Nobilis,6576364,,,,,,,
ara74,4697028,,,,,,,
arab-abdelatif,,,,,,,,
arabad78,19597519,,,,,,,
ARABESQUE66,,,,,,,,
Arabutan,,Salvador,BR,m,1973,,,b
arachetoa,,,,,,,,
arachide7,,,,,,,,
arachih,7703721,,,,,,,
arada,3202539,,,,,,,
AradhanaSingh,4010411,,,,,,,
AradhnaBagga,9668257,,,,,,,
aradi,8802423,,,,,,,
arafaitin,11925312,,,,,,,
ArafaM,11050927,,,,,,,
arafan,,,,,,,,
Arafat91,1936237,,,,,,,
Arafet,,sousse,TN,m,1986,,,m
araffin24,932667,,,,,,,
Arafinwe,,,,,,,,
Arafura,5616551,,,,,,,
aragaosantiago,7307697,,,,,,,
aRaGaR,738811,,,,,,,
aragorn68,,,,,,,,
Arahma,360825,,,,,,,
Araille911,5968714,,,,,,,
Arakino,1266441,,,,,,,
aralc,,Lyon,FR,f,1992,,Envie / Besoin de savoirs et de connaissances complémentaires à ma formation.,m
araldrich,4030434,,,,,,,
Arale22,,Paris,FR,m,1992,,,m
arali31,5748418,,,,,,,
Araman,795934,,,,,,,
aramataTM,,,,,,,,
arambaud73,,Lyon,FR,m,1991,,Je veux créer mon propre objet connecté ,m
aramediop,,TOULOUSE,FR,f,1995,,LOVE SEEKING KNOWLEDGE,b
Arams,6836650,,,,,,,
aramzi,511020,,,,,,,
Arandri,4720347,,,,,,,
Aranel53,615726,,,,,,,
Aranza_Hinojosa,8124557,,,,,,,
Araouchi,,,,,,,,
araouedr,,,,,,,,
Aras_25,,,,,,,,
arashtavakoli,4291399,,,,,,,
arasquain,49801,,,,,,,
Arastall75,,,,,,,,
aratgras,4519014,,,,,,,
arau,2039419,,,,,,,
AraujoG,12568357,,,,,,,
ArauzKike,152578,,,,,,,
ARavaud,,Prades le lez,FR,m,1963,,,m
Aravea,,,,,,,,
aravindgr,4045416,,,,,,,
aravindk100,6682231,,,,,,,
aravindsub,2964120,,,,,,,
Arawa,10525188,,,,,,,
ARaymond-Nordine,,,,,,,,
ArBaDaCarBa,,,,,,,,
arbaoui,,None,,m,2006,,"Participation à l’élaboration des cours
Assister à des cours sur la plateforme
",p
arbart,,Gy?r,HU,m,1990,,,a
arbazak,,Abidjan,CI,m,1992,,"Salut, j'aimerais continuer mes études pour me spécialiser, dans mon pays les frais de scolarité après un BTS est élevé raison pour laquelle je voudrais suivre des cours en ligne gratuitement. Merci   ",hs
arbeloab,18833727,,,,,,,
arbernante,,,,,,,,
Arbib,,Saint-Etienne,FR,m,1984,,Acquisition de compétences nouvelles pour accès formation.,m
arblanc,,BITCHE,FR,,None,,,
Arbon,,,,,,,,
arboria,5593988,,,,,,,
Arboritys,,,,,,,,
Arbras56,,Toulon,FR,m,1975,"Cadre, sup",,m
arbraz,4287492,,,,,,,
arbydig,19534589,,,,,,,
Arc_Angelsk,,,,,,,,
arcabare,,,,,,,,
arcachon,2695527,,,,,,,
ArcadiaLabs,13651141,,,,,,,
arcadian,,,,,,,,
Arcadio,1808167,,,,,,,
arcadius2,,,,,,,,
Arcady,,,,,,,,
arcaille,,,,,,,,
Arcamenel,,None,,,None,,,
Arcan12,,,,,,,,
Arcange,,Rennes,FR,f,1989,,,b
Arcange4,4704573,,,,,,,
Arcanges,,,,,,,,
Arcanios,,,,,,,,
Arcasste,,,,,,,,
Arcflycraft,,,,,,,,
Archambaud,,None,,f,1985,,L'envie de découvrir un domaine que je n'ai pas étudié au cours de mes études.,b
ARCHANA1307,11360566,,,,,,,
Archange229,4025970,,,,,,,
archangelus,,,,,,,,
Archea,,,,,,,,
archeramel,,,,,,,,
Archetypallearner,5280848,,,,,,,
archi35,,janze,FR,m,2002,,,other
Archibald37,,,,,,,,
Archicurieux,4457814,,,,,,,
Archidallas,,,,,,,,
archiduc,,,,,,,,
archie85,567903,,,,,,,
Archiffa,53786,,,,,,,
Archimed31,,,,,,,,
Archimediane,6202249,,,,,,,
archiphi,6176320,,,,,,,
Archipsy,,paris,FR,f,1979,,,m
architecte,,,,,,,,
architecte05,,,,,,,,
architecte35,,janze,FR,m,2004,,,none
architecte35150,,janze,FR,m,2004,,,other
Archithusiast,,,,,,,,
Archo,,,,,,,,
Archo2,,,,,,,,
Archwolf,3829470,,,,,,,
Arck,,,,m,,"Cadre, sup",,
ArcKGS,10967472,,,,,,,
arcmahmud31,12556361,,,,,,,
arcn,5652725,,,,,,,
arco1964,6925961,,,,,,,
ArcoJu,,,,,,,,
Arcondeguy,13178515,,,,,,,
arcorre,,,,,,,,
arcshannon,,,,,,,,
arctan29,5630780,,,,,,,
arctanInfinity,11142435,,,,,,,
Arctic,,None,,,None,,,other
Arctostaphylos-Uva-Ursi,1462725,,,,,,,
arcturien,5240974,,,,,,,
arcuss,,,,,,,,
arcveto,,luxembourg,LU,m,1983,,,m
arczonia,,,,,,,,
arczubinski,,,,,,,,
Ard07,,,,,,,,
ArdecheLibre,,Paris,FR,,None,,,
ardenise,,,,,,,,
ArdenteSilva,,,,,,,,
ArdisherKiani,11335181,,,,,,,
ardo88,,,,,,,,
ARdu13,,,,,,,,
arduiaziz,,,,,,,,
Arduina,,,,,,,,
arduino,,,,,,,,
Arduino001,19734037,,,,,,,
Arduinoobz,,,,m,,Etudiant,,
Arduinooo,,Annecy,FR,m,1967,,"Une passion pour l'informatique embarquée ou non, les nouvelles technologies, la logique et l'électronique ",hs
Arduinopourmoi,13773325,,,,,,,
Ardwen,6417826,,,,,,,
area,,,,,,,,
Areanest,,,,,,,,
arefait,,,,,,,,
AregGharabegi,11206620,,,,,,,
AReglier,,,,,,,,
ArejdalAbdelkrim,859888,None,,m,1990,,je suis en master M1 électronique et j'aimerais compléter ma formation en programmation inforamtique,b
arekpa,,,,,,,,
Arekssu,1831036,,,,,,,
aremo123,,,,,,,,
aremuz,,,,,,,,
ARena,41956,,,,,,,
Arene2018,,,,,,,,
Areour,,,,,,,,
arequipeno,,BELLEGARDE SUR VALSERINE,FR,m,1984,,,a
ares55,,,,,,,,
Aresse,,,,,,,,
aretour,8497893,,,,,,,
aretzca,9921616,,,,,,,
Areya,5811506,,,,,,,
arezki08,,,,,,,,
arezki2015,,,,,,,,
arezqui,,,,,,,,
Arfa26,,,,,,,,
arfandk,,,,,,,,
ArfatHanif,11548758,,,,,,,
arfatriyaz09,21377002,,,,,,,
arga,218116,,,,,,,
argencat,,,,,,,,
ArgenteuilGirl,,,,,,,,
Argentina,,,,,,,,
argil,,,,,,,,
argim,,,,,,,,
argitxu,,,,,,,,
ARGONE,404466,,,,,,,
Argorate,5145346,,,,,,,
ArgosSeb,,Villars-les-Dombes,FR,m,None,,,b
argoubiseifeddine,,Ben Arous,TN,m,1990,,,m
argrazh,4588353,,,,,,,
ArgueyrollesL,6043864,,,,,,,
argui,,,,,,,,
Arguillq,,,,,,,,
argysecu,11031036,,,,,,,
Arha,15640709,,,,,,,
Arhariss,,Agadir,MA,m,1995,,J'aime ce mooc et je vous souhaite une. Bonne continuation,other
